GeneID	fed	fed	fed	fed	starved	starved	starved	starved
BHD	9	7	7	7	7	13	2	23
bi	41	45	28	42	30	57	35	32
BI-1	51	94	32	96	48	51	54	57
bib	28	16	25	24	29	51	20	37
bic	130	183	108	149	152	99	125	119
BicC	14	4	24	1	11	40	1	28
BicD	82	53	55	55	46	110	46	49
bif	62	34	50	32	44	105	23	53
BigH1	12	1	4	0	1	10	0	12
bigmax	15	35	14	23	14	21	16	22
Bili	20	29	23	15	26	49	23	37
bin	14	1	8	0	8	35	0	26
Bin1	18	14	13	16	16	21	6	18
bin3	60	59	63	46	57	104	33	53
bip1	21	4	9	7	3	14	8	21
bip2	75	140	61	117	79	83	93	83
Bka	6	8	6	7	4	8	4	12
blanks	4	1	9	2	5	18	0	10
Blimp-1	86	91	65	85	77	108	65	75
Blm	25	1	22	2	15	44	6	29
Blos1	25	18	16	11	20	20	10	6
Blos2	5	8	3	4	3	3	2	6
Blos3	7	9	4	7	2	4	2	10
Blos4	7	10	6	10	4	8	4	11
blot	197	146	195	123	128	188	182	167
blow	52	75	45	78	46	52	56	61
blp	25	17	22	25	6	24	14	20
blw	171	168	153	164	150	127	161	130
bma	87	116	85	113	102	130	93	73
Bmcp	34	74	34	59	42	38	44	40
bmm	83	132	87	112	82	123	68	95
bnb	105	118	94	140	37	51	34	60
bnk	7	0	5	0	2	18	3	7
bnl	82	95	85	75	85	115	65	72
BobA	5	1	2	1	1	1	0	3
boca	16	26	8	29	14	16	9	12
bocks	13	16	6	18	11	18	9	17
BOD1	22	7	18	14	14	71	11	29
boi	52	38	44	42	52	63	22	49
bol	132	150	131	156	154	146	156	138
boly	3	0	15	1	2	10	2	10
bon	79	74	65	58	55	109	69	63
bond	45	26	36	39	15	49	15	27
bonsai	10	22	3	18	7	16	8	12
bor	16	13	17	22	16	29	10	25
bora	7	2	11	2	9	15	2	16
borr	12	0	9	3	8	19	0	14
boss	11	0	17	3	11	42	3	21
botv	17	15	28	21	14	27	6	36
bou	8	10	5	18	10	5	3	8
bowl	36	8	34	7	26	68	4	41
BoYb	8	3	16	2	19	48	1	26
br	102	101	91	102	132	139	67	61
Br140	37	25	39	22	31	63	21	55
brat	138	129	105	118	126	153	140	102
Brca2	11	5	14	4	12	29	6	21
Brd	3	4	4	0	4	2	0	4
Brd8	16	6	12	5	8	25	1	23
Bre1	32	27	27	33	20	46	21	41
Brf	35	39	36	29	23	59	21	56
brk	23	20	17	12	13	29	11	21
brm	43	36	36	29	53	72	17	48
Brms1	32	33	28	29	28	38	21	31
brn	6	5	12	3	6	16	4	19
Bro	3	0	2	0	0	11	0	7
brp	130	136	106	132	125	138	114	106
bru1	142	129	114	149	127	125	153	116
bru2	69	42	80	53	59	103	40	56
bru3	173	157	135	162	169	153	179	129
Bruce	52	52	59	50	73	122	32	69
brun	14	18	15	20	23	50	8	34
brv1	7	2	12	2	20	18	0	19
brv2	8	1	9	0	6	29	1	16
brv3	21	25	17	14	18	28	13	32
BRWD3	31	16	30	14	24	87	12	37
bs	54	58	47	65	49	69	31	58
bsf	34	25	24	25	19	47	10	35
Bsg	164	154	120	146	138	140	157	122
Bsg25A	15	0	10	1	4	6	2	9
Bsg25D	30	16	32	20	21	44	13	40
bsh	14	6	13	16	2	16	3	24
bsk	79	74	39	54	50	69	72	42
bt	71	37	68	29	78	122	42	53
BTBD9	21	31	28	19	29	46	19	30
BtbVII	39	48	43	51	40	64	31	55
btd	12	6	11	3	11	29	6	18
